producer_id,npn,first_name,last_name,email_address,status,agency_id,agency_name,agency_parent_id,lic_state,lic_number,lic_class,lic_status,lic_eff,lic_exp,tax_id,updated_ts
AGT_44120,9987654,Jon,Doe,john.doe@example.com,ACTIVE,AGY_7101,Premier Insurance,AGY_7000,CA,LIC-123,RESIDENT,ACTIVE,2025-01-01,2027-01-01,287-60-3577,2026-09-11T08:05:00Z
AGT_44120,9987654,Jon,Doe,john.doe@example.com,ACTIVE,AGY_7101,Premier Insurance,AGY_7000,TX,LIC-456,SURPLUS_LINES,ACTIVE,2025-03-15,2027-03-15,287-60-3577,2026-09-11T08:05:00Z
AGT_40001,8059602,Chadrick,Raynor,chadrick.raynor8@oakhurst.com,ACTIVE,AGY_7144,Oakhurst Agency,AGY_7003,OR,LIC-11660,RESIDENT,ACTIVE,2024-05-18,2026-05-18,113-30-2436,2026-09-11T13:53:00Z
AGT_40001,8059602,Chadrick,Raynor,chadrick.raynor8@oakhurst.com,ACTIVE,AGY_7144,Oakhurst Agency,AGY_7003,CA,LIC-79842,RESIDENT,ACTIVE,2025-08-12,2027-08-12,113-30-2436,2026-09-11T13:53:00Z
AGT_40003,9551200,Audie,Runolfsdottir,audie.runolfsdottir@halloway.com,ACTIVE,AGY_7001,Halloway Holdings,,OH,LIC-42774,SURPLUS_LINES,ACTIVE,2024-04-05,2026-04-05,731-71-2944,2026-09-11T15:09:00Z
AGT_40003,9551200,Audie,Runolfsdottir,audie.runolfsdottir@halloway.com,ACTIVE,AGY_7001,Halloway Holdings,,FL,LIC-77382,RESIDENT,ACTIVE,2025-12-12,2027-12-12,731-71-2944,2026-09-11T15:09:00Z
AGT_40004,6114100,Lana,MacGyver,lana.macgyver@deerpath.com,ACTIVE,AGY_7005,Deerpath Holdings,,CA,LIC-55180,SURPLUS_LINES,ACTIVE,2024-08-14,2026-08-14,375-35-5861,2026-09-11T14:20:00Z
AGT_40004,6114100,Lana,MacGyver,lana.macgyver@deerpath.com,ACTIVE,AGY_7005,Deerpath Holdings,,NC,LIC-77202,RESIDENT,ACTIVE,2025-04-16,2027-04-16,375-35-5861,2026-09-11T14:20:00Z
AGT_40011,2815015,Milan,Crist,milan.crist69@summit.com,active,AGY_7104,Summit Ridge Underwriters,AGY_7003,NV,LIC-41276,NON_RESIDENT,ACTIVE,2025-10-09,2027-10-09,503-65-2646,2026-09-11T14:31:00Z
AGT_40011,2815015,Milan,Crist,milan.crist69@summit.com,active,AGY_7104,Summit Ridge Underwriters,AGY_7003,MI,LIC-62671,NON_RESIDENT,EXPIRED,2021-12-18,2023-12-18,503-65-2646,2026-09-11T14:31:00Z
AGT_40015,7452372,Eliza,Mann,eliza.mann35@lakeshore.com,active,AGY_7112,Lakeshore Risk Partners,AGY_7003,IL,LIC-63825,RESIDENT,ACTIVE,2026-09-15,2028-09-15,743-51-1336,2026-09-11T12:24:00Z
AGT_40015,7452372,Eliza,Mann,eliza.mann35@lakeshore.com,active,AGY_7112,Lakeshore Risk Partners,AGY_7003,TX,LIC-49560,NON_RESIDENT,ACTIVE,2025-12-05,2027-12-05,743-51-1336,2026-09-11T12:24:00Z
AGT_40017,4033873,Felicity,Stokes,felicity.stokes9@ellisview.com,ACTIVE,AGY_7130,Ellisview Insurance,AGY_7005,GA,LIC-49859,RESIDENT,ACTIVE,2026-09-21,2028-09-21,872-39-5908,2026-09-11T17:23:00Z
AGT_40017,4033873,Felicity,Stokes,felicity.stokes9@ellisview.com,ACTIVE,AGY_7130,Ellisview Insurance,AGY_7005,AZ,LIC-25073,NON_RESIDENT,ACTIVE,2025-09-19,2027-09-19,872-39-5908,2026-09-11T17:23:00Z
AGT_40022,5328172,Wilber,Torphy,wilber.torphy16@westmoor.com,ACTIVE,AGY_7123,Westmoor Insurance Partners,AGY_7006,IL,LIC-17319,RESIDENT,ACTIVE,2024-02-26,2026-02-26,719-62-3183,2026-09-11T13:27:00Z
AGT_40022,5328172,Wilber,Torphy,wilber.torphy16@westmoor.com,ACTIVE,AGY_7123,Westmoor Insurance Partners,AGY_7006,MI,LIC-58779,RESIDENT,EXPIRED,2023-05-10,2025-05-10,719-62-3183,2026-09-11T13:27:00Z
AGT_40029,3573352,Ivory,Feest,ivory.feest31@mosswood.com,ACTIVE,AGY_7142,Mosswood Insurance,AGY_7001,IL,LIC-45811,RESIDENT,EXPIRED,2021-12-10,2023-12-10,164-75-4819,2026-09-11T10:09:00Z
AGT_40029,3573352,Ivory,Feest,ivory.feest31@mosswood.com,ACTIVE,AGY_7142,Mosswood Insurance,AGY_7001,WA,LIC-78325,NON_RESIDENT,ACTIVE,2025-05-27,2027-05-27,164-75-4819,2026-09-11T10:09:00Z
AGT_40033,2877430,Edmund,Von,edmund.von66@ashford.com,ACTIVE,AGY_7126,Ashford Agency,AGY_7001,FL,LIC-56345,RESIDENT,ACTIVE,2024-03-08,2026-03-08,154-77-9915,2026-09-11T21:56:00Z
AGT_40033,2877430,Edmund,Von,edmund.von66@ashford.com,ACTIVE,AGY_7126,Ashford Agency,AGY_7001,AZ,LIC-65949,NON_RESIDENT,ACTIVE,2025-10-01,2027-10-01,154-77-9915,2026-09-11T21:56:00Z
AGT_40039,5627206,Aiden,Greenfelder,aiden.greenfelder97@saltmarsh.com,TERMINATED,AGY_7148,Saltmarsh Insurance Services,AGY_7007,NY,LIC-61727,RESIDENT,EXPIRED,2021-05-25,2023-05-25,550-66-2179,2026-09-11T16:32:00Z
